DisplayCode,ISIN,Cusip,SecurityDesc
ANDV,US03349M1053,03349M105,ANDEAVOR
1878 HK,CA8443751059,844375105,SOUTHGOBI RESOURCES LTD
2212 JP,JP3935600001,984632109,YAMAZAKI BAKING CO LTD
7731 JP,JP3657400002,654111103,NIKON CORP
7911 JP,JP3629000005,890747108,TOPPAN PRINTING CO LTD
A,US00846U1016,00846U101,AGILENT TECHNOLOGIES INC
AAIIQ,US01023E1001,1.02E+103,ALABAMA AIRCRAFT INDUSTRIES
AAN,US0025353006,2535300,AARON'S INC
AAON,US0003602069,360206,AAON INC
AAP,US00751Y1064,00751Y106,ADVANCE AUTO PARTS INC
AAPL,US0378331005,37833100,APPLE INC
AAT,US0240131047,24013104,AMERICAN ASSETS TRUST INC
AAWW,US0491642056,49164205,ATLAS AIR WORLDWIDE HOLDINGS
ABAX,US0025671050,2567105,ABAXIS INC
ABBV,US00287Y1091,00287Y109,ABBVIE INC
ABC,US03073E1055,3.07E+108,AMERISOURCEBERGEN CORP
ABCB,US03076K1088,03076K108,AMERIS BANCORP
ABCO,US00762W1071,00762W107,ADVISORY BOARD CO/THE
ACCO,US00081T1088,00081T108,ACCO BRANDS CORP
ABG,US0434361046,43436104,ASBURY AUTOMOTIVE GROUP
ABM,US0009571003,957100,ABM INDUSTRIES INC
ABMD,US0036541003,3654100,ABIOMED INC
ABNK,US02152H1041,02152H104,ALTAPACIFIC BANCORP
ABT,US0028241000,2824100,ABBOTT LABORATORIES
AUTO,US05335B1008,05335B100,AUTOWEB INC
ABX,CA0679011084,67901108,BARRICK GOLD CORP
ACAD,US0042251084,4225108,ACADIA PHARMACEUTICALS INC
ACC,US0248351001,24835100,AMERICAN CAMPUS COMMUNITIES
ACET,US0044461004,4446100,ACETO CORP
ACHC,US00404A1097,00404A109,ACADIA HEALTHCARE CO INC
ACHN,US00448Q2012,00448Q201,ACHILLION PHARMACEUTICALS
ACIW,US0044981019,4498101,ACI WORLDWIDE INC
ACLS,US0545402085,54540208,AXCELIS TECHNOLOGIES INC
ACM,US00766T1007,00766T100,AECOM
ACOR,US00484M1062,00484M106,ACORDA THERAPEUTICS INC
ACUR,US00509L8028,00509L802,ACURA PHARMACEUTICALS INC
ACUS,US00511R8549,00511R854,ACUSPHERE INC
ACXM,US0051251090,5125109,ACXIOM CORP
ADBE,US00724F1012,00724F101,ADOBE SYSTEMS INC
ADI,US0326541051,32654105,ANALOG DEVICES INC
ADLS,US00765H3057,00765H305,ADVANCED LIFE SCIENCES HOLD
ADM,US0394831020,39483102,ARCHER-DANIELS-MIDLAND CO
ADP,US0530151036,53015103,AUTOMATIC DATA PROCESSING
ADPTQ,US0068551003,6855100,ADEPTUS HEALTH INC-CLASS A
ADS,US0185811082,18581108,ALLIANCE DATA SYSTEMS CORP
ADSK,US0527691069,52769106,AUTODESK INC
ADTN,US00738A1060,00738A106,ADTRAN INC
AEE,US0236081024,23608102,AMEREN CORPORATION
AEIS,US0079731008,7973100,ADVANCED ENERGY INDUSTRIES
AEL,US0256762065,25676206,AMERICAN EQUITY INVT LIFE HL
AEM,CA0084741085,8474108,AGNICO EAGLE MINES LTD
AEO,US02553E1064,2.55E+109,AMERICAN EAGLE OUTFITTERS
AEP,US0255371017,25537101,AMERICAN ELECTRIC POWER
AERG,US03819M1062,03819M106,APPLIED ENERGETICS INC
AERO,US00768M2026,00768M202,AERO GROW INTERNATIONAL INC
AES,US00130H1059,00130H105,AES CORP
AET,US00817Y1082,00817Y108,AETNA INC
AEZS,CA0079754028,7975402,AETERNA ZENTARIS INC
AFAM,US0204091088,20409108,ALMOST FAMILY INC
AFFY,US00826A1097,00826A109,AFFYMAX INC
AFG,US0259321042,25932104,AMERICAN FINANCIAL GROUP INC
AFL,US0010551028,1055102,AFLAC INC
AFSI,US0323593097,32359309,AMTRUST FINANCIAL SERVICES
AGCO,US0010841023,1084102,AGCO CORP
AGEN,US00847G7051,00847G705,AGENUS INC
AGM,US3131483063,313148306,FEDERAL AGRIC MTG CORP-CL C
AGNC,US00123Q1040,00123Q104,AGNC INVESTMENT CORP
AGU,CA0089161081,8916108,AGRIUM INC
AGYS,US00847J1051,00847J105,AGILYSYS INC
AHC,US0012821023,1282102,A H BELO CORP-A
AHT,US0441031095,44103109,ASHFORD HOSPITALITY TRUST
AIG,US0268747849,26874784,AMERICAN INTERNATIONAL GROUP
AIMC,US02208R1068,02208R106,ALTRA INDUSTRIAL MOTION CORP
AIN,US0123481089,12348108,ALBANY INTL CORP-CL A
AINV,US03761U1060,03761U106,APOLLO INVESTMENT CORP
AIR,US0003611052,361105,AAR CORP
AIT,US03820C1053,03820C105,APPLIED INDUSTRIAL TECH INC
AIV,US03748R1014,03748R101,APARTMENT INVT & MGMT CO -A
AIZ,US04621X1081,04621X108,ASSURANT INC
AJG,US3635761097,363576109,ARTHUR J GALLAGHER & CO
AKAM,US00971T1016,00971T101,AKAMAI TECHNOLOGIES INC
AKR,US0042391096,4239109,ACADIA REALTY TRUST
AKRX,US0097281069,9728106,AKORN INC
AKS,US0015471081,1547108,AK STEEL HOLDING CORP
AL,US00912X3026,00912X302,AIR LEASE CORP
ALB,US0126531013,12653101,ALBEMARLE CORP
ALCO,US0162301040,16230104,ALICO INC
ALE,US0185223007,18522300,ALLETE INC
ALG,US0113111076,11311107,ALAMO GROUP INC
ALGN,US0162551016,16255101,ALIGN TECHNOLOGY INC
ALGT,US01748X1028,01748X102,ALLEGIANT TRAVEL CO
ALIF,US04314Q1058,04314Q105,ARTIFICIAL LIFE INC
ALK,US0116591092,11659109,ALASKA AIR GROUP INC
ALL,US0200021014,20002101,ALLSTATE CORP
ALNY,US02043Q1076,02043Q107,ALNYLAM PHARMACEUTICALS INC
ALOG,US0326572072,32657207,ANALOGIC CORP
ALSK,US01167P1012,01167P101,ALASKA COMM SYSTEMS GROUP
ALSN,US01973R1014,01973R101,ALLISON TRANSMISSION HOLDING
ALV,US0528001094,52800109,AUTOLIV INC
ALXN,US0153511094,15351109,ALEXION PHARMACEUTICALS INC
AMAG,US00163U1060,00163U106,AMAG PHARMACEUTICALS INC
AMAT,US0382221051,38222105,APPLIED MATERIALS INC
AMCX,US00164V1035,00164V103,AMC NETWORKS INC-A
AMD,US0079031078,7903107,ADVANCED MICRO DEVICES
AME,US0311001004,31100100,AMETEK INC
AMED,US0234361089,23436108,AMEDISYS INC
AMG,US0082521081,8252108,AFFILIATED MANAGERS GROUP
AMGN,US0311621009,31162100,AMGEN INC
AMH,US02665T3068,02665T306,AMERICAN HOMES 4 RENT- A
AMKR,US0316521006,31652100,AMKOR TECHNOLOGY INC
AMP,US03076C1062,03076C106,AMERIPRISE FINANCIAL INC
AMSC,US0301112076,30111207,AMERICAN SUPERCONDUCTOR CORP
AMSF,US03071H1005,03071H100,AMERISAFE INC
EVHC,US29414D1000,29414D100,ENVISION HEALTHCARE CORP
AMSWA,US0296831094,29683109,AMERICAN SOFTWARE INC-CL A
AMT,US03027X1000,03027X100,AMERICAN TOWER CORP
AMTD,US87236Y1082,87236Y108,TD AMERITRADE HOLDING CORP
AMWD,US0305061097,30506109,AMERICAN WOODMARK CORP
AMZN,US0231351067,23135106,AMAZON.COM INC
AN,US05329W1027,05329W102,AUTONATION INC
ANDE,US0341641035,34164103,ANDERSONS INC/THE
ANET,US0404131064,40413106,ARISTA NETWORKS INC
ANF,US0028962076,2896207,ABERCROMBIE & FITCH CO-CL A
ANGO,US03475V1017,03475V101,ANGIODYNAMICS INC
ANH,US0373471012,37347101,ANWORTH MORTGAGE ASSET CORP
ANIK,US0352551081,35255108,ANIKA THERAPEUTICS INC
ANSS,US03662Q1058,03662Q105,ANSYS INC
ANTH,US03674U3005,03674U300,ANTHERA PHARMACEUTICALS INC
AOI,US0187723012,18772301,ALLIANCE ONE INTERNATIONAL
AOLS,US00765G1094,00765G109,AEOLUS PHARMACEUTICALS INC
AOS,US8318652091,831865209,SMITH (A.O.) CORP
AP,US0320371034,32037103,AMPCO-PITTSBURGH CORP
APA,US0374111054,37411105,APACHE CORP
APAM,US04316A1088,04316A108,ARTISAN PARTNERS ASSET MA -A
APC,US0325111070,32511107,ANADARKO PETROLEUM CORP
APD,US0091581068,9158106,AIR PRODUCTS & CHEMICALS INC
APEI,US02913V1035,02913V103,AMERICAN PUBLIC EDUCATION
APH,US0320951017,32095101,AMPHENOL CORP-CL A
APOG,US0375981091,37598109,APOGEE ENTERPRISES INC
APT,US0207721095,20772109,ALPHA PRO TECH LTD
ARAY,US0043971052,4397105,ACCURAY INC
ARC,US00191G1031,00191G103,ARC DOCUMENT SOLUTIONS INC
ARCC,US04010L1035,04010L103,ARES CAPITAL CORP
ARDM,US0385054004,38505400,ARADIGM CORP
ARE,US0152711091,15271109,ALEXANDRIA REAL ESTATE EQUIT
AREX,US03834A1034,03834A103,APPROACH RESOURCES INC
ARI,US03762U1051,03762U105,APOLLO COMMERCIAL REAL ESTAT
ARII,US02916P1030,02916P103,AMERICAN RAILCAR INDUSTRIES
ARNA,US0400476075,40047607,ARENA PHARMACEUTICALS INC
ARNI,US0425642032,42564203,ARNO THERAPEUTICS INC
AROW,US0427441029,42744102,ARROW FINANCIAL CORP
ARQL,US04269E1073,4.27E+110,ARQULE INC
ARR,US0423155078,42315507,ARMOUR RESIDENTIAL REIT INC
ARRY,US04269X1054,04269X105,ARRAY BIOPHARMA INC
ARW,US0427351004,42735100,ARROW ELECTRONICS INC
ARWR,US04280A1007,04280A100,ARROWHEAD PHARMACEUTICALS IN
ARYX,US0433871094,43387109,ARYX THERAPEUTICS INC
ASFI,US0462201098,46220109,ASTA FUNDING INC
ASGN,US6821591087,682159108,ON ASSIGNMENT INC
ASNA,US04351G1013,04351G101,ASCENA RETAIL GROUP INC
ASTE,US0462241011,46224101,ASTEC INDUSTRIES INC
ASTI,US0436354080,43635408,ASCENT SOLAR TECHNOLOGIES
ASYS,US0323325045,32332504,AMTECH SYSTEMS INC
AT,CA04878Q8636,04878Q863,ATLANTIC POWER CORP
ATAR,US05350B1008,05350B100,AVATAR VENTURES CORP
ATEC,US02081G2012,02081G201,ALPHATEC HOLDINGS INC
ATHN,US04685W1036,04685W103,ATHENAHEALTH INC
ATI,US01741R1023,01741R102,ALLEGHENY TECHNOLOGIES INC
ATLO,US0310011004,31001100,AMES NATIONAL CORP
ATNI,US00215F1075,00215F107,ATN INTERNATIONAL INC
ATO,US0495601058,49560105,ATMOS ENERGY CORP
ATR,US0383361039,38336103,APTARGROUP INC
ATRC,US04963C2098,04963C209,ATRICURE INC
ATRS,US0366421065,36642106,ANTARES PHARMA INC
ATSG,US00922R1059,00922R105,AIR TRANSPORT SERVICES GROUP
ATU,US00508X2036,00508X203,ACTUANT CORP-A
ATVI,US00507V1098,00507V109,ACTIVISION BLIZZARD INC
AUY,CA98462Y1007,98462Y100,YAMANA GOLD INC
AVA,US05379B1070,05379B107,AVISTA CORP
AVAV,US0080731088,8073108,AEROVIRONMENT INC
AVB,US0534841012,53484101,AVALONBAY COMMUNITIES INC
AVD,US0303711081,30371108,AMERICAN VANGUARD CORP
AVEO,US0535881090,53588109,AVEO PHARMACEUTICALS INC
AVID,US05367P1003,05367P100,AVID TECHNOLOGY INC
AVM CN,CA05351M2040,05351M204,AVARONE METALS INC
AVP,US0543031027,54303102,AVON PRODUCTS INC
AVT,US0538071038,53807103,AVNET INC
AVX,US0024441075,2444107,AVX CORP
AVY,US0536111091,53611109,AVERY DENNISON CORP
AWGI,US02319A1097,02319A109,AMBIENT WATER CORP
AWI,US04247X1028,04247X102,ARMSTRONG WORLD INDUSTRIES
AWK,US0304201033,30420103,AMERICAN WATER WORKS CO INC
AWR,US0298991011,29899101,AMERICAN STATES WATER CO
AXAS,US0038301067,3830106,ABRAXAS PETROLEUM CORP
AXC CN,CA01479Q1028,01479Q102,ALEXANDRA CAPITAL CORP
AXE,US0352901054,35290105,ANIXTER INTERNATIONAL INC
AXL,US0240611030,24061103,AMERICAN AXLE & MFG HOLDINGS
AXP,US0258161092,25816109,AMERICAN EXPRESS CO
AXR,US0321591051,32159105,AMREP CORP
AXTI,US00246W1036,00246W103,AXT INC
AYI,US00508Y1029,00508Y102,ACUITY BRANDS INC
AZO,US0533321024,53332102,AUTOZONE INC
AZPN,US0453271035,45327103,ASPEN TECHNOLOGY INC
AZZ,US0024741045,2474104,AZZ INC
B,US0678061096,67806109,BARNES GROUP INC
BA,US0970231058,97023105,BOEING CO/THE
BABY,US6390501038,639050103,NATUS MEDICAL INC
BAC,US0605051046,60505104,BANK OF AMERICA CORP
BAH,US0995021062,99502106,BOOZ ALLEN HAMILTON HOLDINGS
BAJFF,CA13467N1087,13467N108,CAMROVA RESOURCES INC
BAM,CA1125851040,112585104,BROOKFIELD ASSET MANAGE-CL A
BANF,US05945F1030,05945F103,BANCFIRST CORP
BANR,US06652V2088,06652V208,BANNER CORPORATION
BAS,US06985P2092,06985P209,BASIC ENERGY SERVICES INC
BAX,US0718131099,71813109,BAXTER INTERNATIONAL INC
BBBY,US0758961009,75896100,BED BATH & BEYOND INC
BBD/B CN,CA0977512007,97751200,BOMBARDIER INC-B
BBG,US06846N1046,06846N104,BILL BARRETT CORP
BBGI,US0740141017,74014101,BEASLEY BROADCAST GRP INC -A
BBOX,US0918261076,91826107,BLACK BOX CORP
BBRG,US10567B1098,10567B109,BRAVO BRIO RESTAURANT GROUP
BB,CA09228F1036,09228F103,BLACKBERRY LTD
BBSI,US0684631080,68463108,BARRETT BUSINESS SVCS INC
BBT,US0549371070,54937107,BB&T CORP
